username,country,score,date_written,positive,negative,tags
Vicente,España,10.0,Escrito en 24 de noviembre de 2025,"Lo que más me gustó es la amplitud de la habitación, las camas son cómodas y la ubicación está genial",Por poner alguna pega que tienes que dejar la habiatacion a las 11:00h y te la dan a las 15:00h,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Garcia,España,8.0,Escrito en 23 de noviembre de 2025,La amabilidad,La entrada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Daniel,España,9.0,Escrito en 20 de noviembre de 2025,Me gustó mucho el patio de luces y la ubicación.,Las literas eran un poco incómodas para subir,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 3 noches', '•Enviado por móvil']"
Jara,España,10.0,Escrito en 18 de noviembre de 2025,"Increíble… todo limpio, cómodo y acogedor.  Y tiene piscina!!","Que no haya nadie presente en el alojamiento, o por lo menos cuando llegamos.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Nuria,España,10.0,Escrito en 16 de noviembre de 2025,Las instalaciones y la facilidad para realizar todo el proceso de check-in y check-out.,,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 1 noche', '•Enviado por móvil']"
Marie,España,10.0,Escrito en 15 de noviembre de 2025,Todo hermoso y limpio,,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 2 noches', '•Enviado por móvil']"
Pablo,Chile,10.0,Escrito en 14 de noviembre de 2025,"Me gusto mucho la calma del hostal, es ideal, muy bien ubicado, el personal muy amable, instalaciones impecables, buenas camas.","Creo que a las camas les falta una cortina blackout para que no molesten cuando se enciende la luz de la habitación, solo como una opción de mejora","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida con 4 camas', '•Estancia de 2 noches']"
Lorena,España,10.0,Escrito en 9 de noviembre de 2025,"La ubicación, el diseño y la tranquilidad",El chekin tan tarde,"['•Viaje de ocio', '•Pareja', '•Habitación Familiar Estándar', '•Estancia de 2 noches', '•Enviado por móvil']"
Benjumea,España,10.0,Escrito en 9 de noviembre de 2025,Limpio y buena ubicación,Nada,"['•Grupo de amigos', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Martinez,España,8.0,Escrito en 30 de octubre de 2025,El edificio.,Se echa de menos algún espejo grande.,"['•Pareja', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Dayanne,España,10.0,Escrito en 27 de octubre de 2025,"Limpio, tranquilo y muy bien organizado",Un chaval que roncava hahhahah,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 2 noches', '•Enviado por móvil']"
Eloisa,Argentina,8.0,Escrito en 27 de octubre de 2025,Limpieza y privacidad,"Haria la parte del lavamanos del baño con una puerta porque si alguien se va temprano del cuarto, se escucha todo y despiertan a los demas","['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 1 noche', '•Enviado por móvil']"
Walter,Uruguay,10.0,Escrito en 26 de octubre de 2025,Lindo lugar bien atendido y prolijamente cuidado. Me gustó mucho.,"No tengo nada que resaltar en forma negativa , por lo que no tengo nada para expresar.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 2 noches', '•Enviado por móvil']"
Patricia,Perú,9.0,Escrito en 25 de octubre de 2025,"El personal de calidad, linda la instalación",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Alejandro,España,9.0,Escrito en 25 de agosto de 2025,"Excelentes instalaciones y un ambiente muy acogedor. Muy buena ubicación y gran facilidad para acceder al lugar.
La piscina un súper plus para el calor del verano y para relajarse un rato, sin embargo, sí estaba un poco turbo el agua. Le hacía falta un poco de limpieza
En general muy bien para el precio del hospedaje",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 6 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Lola,España,10.0,Escrito en 23 de agosto de 2025,"La organización y la limpieza eran muy buenos.
Los empleados muy atentos.
Las zonas comunes muy buenas, limpias y respetando el descanso de los visitantes.",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama Individual en habitación compartida femenina', '•Estancia de 3 noches', '•Enviado por móvil']"
Pascal,España,10.0,Escrito en 23 de agosto de 2025,Millones agradecimientos mantenimiento camareras de pisos recepcionistas y la CEO por ser solidarios Es importante compartir,El no poder gastar mas en helados,"['•Viaje de negocios', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 10 noches', '•Enviado por móvil']"
Mateco,España,10.0,Escrito en 19 de agosto de 2025,muy bonito y el personal muy atento. Encantada además de que acepten tan bien a mi perro,Me gustó todo pero hay que tener en cuenta de que las literas no son aptas para cualquier forma física jajajaja,"['•Grupo de amigos', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Amelia,España,10.0,Escrito en 19 de agosto de 2025,El edificio,Nada,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Eva,España,9.0,Escrito en 19 de agosto de 2025,La limpieza y el personal de recepción.,Los accesos. Imposible acercar el vehículo a la entrada. Contratamos parking y estaba bastante lejos del alojamiento.,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Cuádruple con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Plata,España,8.0,Escrito en 18 de agosto de 2025,"Lo fresquita que era la habitación. Con el calor que hacía en Córdoba, no lo notamos nada por la noche . Cuando llegamos teníamos puesto el aire acondicionado lo que se agradece 😄 
La piscina tb estaba bien. Sin masificación de gente",Si tengo que decir algo es que no se podía acceder en coche a la puerta del hotel porque era zona restringida. Pero no fue problema porque aparcamos el coche a 2min,"['•Familia con niños pequeños', '•Habitación Cuádruple con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Itxaso,España,9.0,Escrito en 18 de agosto de 2025,"La habitación las camas muy cómodas, la ubicación y el personal",La limpieza de la piscina de podría mejorat,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Cuádruple con baño privado', '•Estancia de 2 noches', '•Enviado por móvil']"
Bayona,España,10.0,Escrito en 17 de agosto de 2025,"La cercanía al centro, la limpieza y el trato",,"['•Viaje de ocio', '•Persona que viaja sola', '•Habitación Cuádruple con baño privado', '•Estancia de 3 noches', '•Enviado por móvil']"
Adrián,España,10.0,Escrito en 16 de agosto de 2025,"Calidad/precio es inmejorable, atención perfecta, muy limpio, tranquilo, ubicación perfecta y también con piscina!",Me gustó todo!,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Beatriz,España,10.0,Escrito en 15 de agosto de 2025,Súper recomendable,,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Nuria,España,10.0,Escrito en 15 de agosto de 2025,"Está súper céntrico, super limpio, nuevo, bonito y muy cómodo y la piscina un plus para refrescarse con el calor que hace en verano en Córdoba!",Es difícil aparcar por la zona y según como sea tu vehículo imposible en el parking que tienen pero la zona azul está bien de precio y en festivos es gratis,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Palacios,Argentina,10.0,Escrito en 14 de agosto de 2025,"Todo! Tiene pileta,  tiene un sistema de claves, que esta buenísimo,  la habitación de 10 tiene dos baños y dos duchas, todos pequeños. La cama super cómoda, la limpieza excelente,  los de la recepción muy atentos y amables. La verdad que fue de paso mi noche ahi, pero si volvería!!! Esta cerca de todo",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Sofia,España,9.0,Escrito en 13 de agosto de 2025,"Buena relación calidad-precio, personal muy amable y ubicación",La piscina no estaba muy limpia,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Fermín,España,10.0,Escrito en 11 de agosto de 2025,"La ubicación, la amplitud y limpieza de la habitación y el trato y la atención del personal",El aire acondicionado a la llegada no funcionaba. Pero contactamos con el personal y lo arreglaron inmediatamente,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Felipe,España,8.0,Escrito en 10 de agosto de 2025,"Ubicación y tranquilidad. El chico que había en recepción cuando llegamos y cuando dejamos la habitación se portó genial. Nos aconsejo muy bien.","Al estar 4 noches, que no pasasen hacer la habitación ningún día.","['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 4 noches', '•Enviado por móvil']"
Oscar,España,10.0,Escrito en 8 de agosto de 2025,El personal súper atento y 24/7 disponibles.,,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas', '•Estancia de 4 noches', '•Enviado por móvil']"
Javier,España,10.0,Escrito en 7 de agosto de 2025,"El diseño de la habitación le encantó a mí hijo mayor, al ser camas literas y no ser habitual en habitaciones de hotel.
Muy limpio y de estilo moderno.",Nada,"['•Viaje de ocio', '•Pareja', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
Pineda,España,10.0,Escrito en 6 de agosto de 2025,Me encanto calidad precio y todo muy limpio y bonito,Nada,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 10 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Gabay,Argentina,10.0,Escrito en 5 de agosto de 2025,"Que te atienda Javier. Le pedís que te consiga comida para un elefante y lo  hace, capaz predispuesto un capo.",,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Constanza,Argentina,10.0,Escrito en 4 de agosto de 2025,"Todo fantástico, l@s chic@s que atienden son muy amables, el hostal es grande y cómodo, las camas también. La piscina es un super plus!",Nada,"['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas', '•Estancia de 3 noches', '•Enviado por móvil']"
Cristian,España,9.0,Escrito en 3 de agosto de 2025,La facilidad de hacer el check-in y el check-out,La piscina estaba bien pero el agua se veía muy turbia,"['•Viaje de ocio', '•Pareja', '•Habitación Doble', '•Estancia de 1 noche', '•Enviado por móvil']"
Chiara,Italia,8.0,Escrito en 2 de agosto de 2025,Un patio hermoso. Encontré todo limpio y con buenos conforts. Además el personal fue muy amable ya que pude dejar mi mochila guardada después del check-out.,"Mi habitación era mixta pero solo había hombres y la ducha no se cierra con seguro. No me lo esperaba, pero igualmente los chicos fueron muy amables conmigo para hacerme sentir lo más cómoda posible.","['•Viaje de ocio', '•Persona que viaja sola', '•Cama en habitación compartida mixta de 8 camas', '•Estancia de 1 noche', '•Enviado por móvil']"
Celia,España,9.0,Escrito en 2 de agosto de 2025,"Todo fenomenal, muy cómodo, está nuevo y muy limpio.","Para mi gusto almohadas demasiado finas, pero es una opinión personal.","['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar con baño privado', '•Estancia de 1 noche', '•Enviado por móvil']"
Moises,España,8.0,Escrito en 1 de agosto de 2025,La habitación,Demasiada gente en la piscina que no cumplían las normas,"['•Viaje de ocio', '•Familia con niños pequeños', '•Habitación Familiar Estándar', '•Estancia de 1 noche', '•Enviado por móvil']"
